id,first_name,last_name,email,gender,id,stock_code,product_category,unit_price,quantity,customer_id
3,Kiele,McQuaker,kmcquaker2@ca.gov,F,701,GZQT9661,Outdoors,34.23,32,3
12,Alvie,Hulls,ahullsb@studiopress.com,M,1,HWLNKJW2,Outdoors,9.54,64,12
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,644,PLNK26X9,Outdoors,106.33,38,16
16,Donetta,Dantesia,ddantesiaf@meetup.com,F,640,76WR36MX,Outdoors,18.62,63,16
17,Jerrome,Shambrook,jshambrookg@ustream.tv,M,38,LZSWHOAQ,Outdoors,149.5,55,17
20,Wyndham,Dillistone,wdillistonej@tinypic.com,M,184,9T7NR7QF,Outdoors,63.23,34,20
22,Leeanne,Turbefield,lturbefieldl@i2i.jp,F,205,MJGMGJCA,Outdoors,145.95,23,22
27,Olag,Kindread,okindreadq@statcounter.com,M,805,TPOFMPXW,Outdoors,48.24,58,27
29,Jobey,De'Vere - Hunt,jdeverehunts@sfgate.com,F,107,MXPR15AQ,Outdoors,74.2,70,29
36,Morris,Straneo,mstraneoz@rambler.ru,M,684,UMJ0ZQET,Outdoors,98.57,82,36
36,Morris,Straneo,mstraneoz@rambler.ru,M,32,F3PG7J2A,Outdoors,83.8,61,36
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,828,7T9H2DAB,Outdoors,107.01,89,43
43,Dynah,Petchey,dpetchey16@prnewswire.com,F,500,P3V3QQMR,Outdoors,74.92,30,43
57,Tedda,Bounde,tbounde1k@example.com,F,601,D5VLJGRQ,Outdoors,40.11,22,57
66,Gib,Spearman,gspearman1t@hostgator.com,M,809,917T46K5,Outdoors,143.85,30,66
67,Inglebert,Marzella,imarzella1u@phpbb.com,M,58,IW911FLR,Outdoors,43.14,18,67
77,Drusy,Dalbey,ddalbey24@ebay.co.uk,F,818,MES9U06N,Outdoors,146.77,2,77
102,Penelopa,Barnsdall,pbarnsdall2t@msu.edu,F,643,69JXQSCX,Outdoors,64.36,78,102
110,Georges,Sinfield,gsinfield31@about.me,M,685,EQFYIBDS,Outdoors,96.58,65,110
117,Clarisse,Parell,cparell38@newyorker.com,F,191,T6V4M26A,Outdoors,8.79,13,117
124,Jedidiah,Duinkerk,jduinkerk3f@bing.com,M,990,YGIGZR3B,Outdoors,126.61,18,124
125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F,473,PVLBU7L0,Outdoors,100.74,7,125
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,320,5GG7GS1X,Outdoors,10.99,55,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,252,MOASEGOY,Outdoors,118.91,49,127
130,Honor,Sekulla,hsekulla3l@vistaprint.com,F,371,DHEJCTKB,Outdoors,108.01,47,130
131,Dwayne,Baumber,dbaumber3m@scribd.com,M,45,TKSC0BBW,Outdoors,33.19,22,131
134,Maryann,Mildenhall,mmildenhall3p@washington.edu,F,33,NUEFXLU0,Outdoors,121.92,66,134
138,Arabelle,Yoskowitz,ayoskowitz3t@nps.gov,F,134,J6D8G0S0,Outdoors,139.36,2,138
144,Adria,Miners,aminers3z@comsenz.com,F,352,2UDE4PD0,Outdoors,111.51,88,144
145,Kristoforo,Alti,kalti40@biblegateway.com,M,56,ZSISJ09R,Outdoors,68.67,79,145
148,Aubrie,Rubinovitch,arubinovitch43@utexas.edu,F,119,8KVE7KHD,Outdoors,60.28,5,148
149,Falito,Volonte,fvolonte44@google.co.jp,M,469,B2ML7ZJ6,Outdoors,12.8,81,149
150,Barthel,Isaak,bisaak45@freewebs.com,M,939,DKMUBBT2,Outdoors,105.65,50,150
153,Ferrell,Barrowcliff,fbarrowcliff48@vimeo.com,M,278,94R91HTP,Outdoors,100.5,96,153
166,Heddi,Condliffe,hcondliffe4l@house.gov,F,434,DEKNI32X,Outdoors,145.27,81,166
168,Hort,Arnold,harnold4n@google.co.uk,M,544,49H2JCJD,Outdoors,110.28,3,168
179,Annalee,Spriddle,aspriddle4y@ox.ac.uk,F,667,RBS11O8R,Outdoors,38.36,95,179
188,Nadiya,Eldredge,neldredge57@bloomberg.com,F,566,OITO4QQB,Outdoors,51.1,54,188
189,Loraine,Mityushin,lmityushin58@scribd.com,F,99,JOPDXAQT,Outdoors,146.04,57,189
194,Romy,Johnsson,rjohnsson5d@guardian.co.uk,F,283,SCE4DO5Y,Outdoors,58.99,68,194
212,Regina,Feathersby,rfeathersby5v@is.gd,F,262,C6WW7MGP,Outdoors,94.38,79,212
214,Barbey,Thorns,bthorns5x@amazon.com,F,681,9SHY3PDY,Outdoors,51.53,63,214
222,Kylie,Allen,kallen65@sourceforge.net,M,290,GJCH9FKZ,Outdoors,42.08,65,222
225,Diena,Patriche,dpatriche68@alibaba.com,F,389,BO0UIGN4,Outdoors,91.52,24,225
244,Colby,Pinnijar,cpinnijar6r@facebook.com,M,692,DMPW09BQ,Outdoors,143.67,52,244
